career,education_cost,training_months,avg_salary,entry_barrier
software_engineer,50000,48,120000,medium
data_scientist,55000,60,130000,medium
machine_learning_engineer,60000,60,145000,high
devops_engineer,45000,36,125000,medium
cloud_architect,55000,48,150000,high
cybersecurity_analyst,48000,48,115000,medium
frontend_developer,35000,36,95000,low
backend_developer,40000,42,105000,medium
full_stack_developer,45000,48,110000,medium
product_manager,50000,36,135000,medium
project_manager,40000,36,105000,medium
ux_designer,35000,36,95000,low
ui_designer,30000,30,85000,low
data_analyst,35000,36,75000,low
business_analyst,40000,36,85000,medium
financial_analyst,55000,48,90000,medium
investment_banker,80000,60,150000,high
physician,300000,144,250000,very_high
nurse,40000,48,75000,medium
pharmacist,150000,84,130000,high
dentist,250000,96,180000,very_high
lawyer,200000,84,130000,high
accountant,45000,60,75000,medium
marketing_manager,40000,36,95000,medium
digital_marketer,25000,24,65000,low
content_writer,15000,12,55000,low
graphic_designer,30000,36,60000,low
architect,120000,84,90000,high
civil_engineer,80000,60,85000,medium
mechanical_engineer,75000,60,90000,medium
electrical_engineer,75000,60,95000,medium
teacher,35000,60,55000,medium
professor,100000,120,95000,high
research_scientist,80000,96,100000,high
consultant,50000,36,120000,medium
entrepreneur,25000,24,variable,low
retail_manager,20000,24,50000,low
chef,35000,36,55000,medium
pilot,150000,48,150000,high
journalist,40000,48,55000,medium
social_worker,45000,60,50000,medium
psychologist,100000,96,85000,high
veterinarian,200000,96,110000,high
pharmacist,150000,84,130000,high
